symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
PNB,PNBEQN, ANNUAL GENERAL MEETING,45.2,0.5500000000000043,1.2318029115341642,44.65,389689,17613942.8,132743298059.47,48.2,26.3,45.2,https://static.nseindia.com/sparklines/today/preOpen_PNBEQN.jpg
IDFCFIRSTB,IDFCFIRSTBEQN, DIVIDEND RE 0.75 PER SHARE,50.1,0.3999999999999986,0.8048289738430555,49.7,54048,2707804.8,154350617929.2,69.3,29.8,50.1,https://static.nseindia.com/sparklines/today/preOpen_IDFCFIRSTBEQN.jpg
FEDERALBNK,FEDERALBNKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.70 PER SHARE,97.2,0.6500000000000057,0.6732263076126418,96.55,90866,8832175.2,192839161948.94,98.0,49.8,97.2,https://static.nseindia.com/sparklines/today/preOpen_FEDERALBNKEQN.jpg
INDUSINDBK,INDUSINDBKEQN, DIVIDEND - RS 5 PER SHARE,1192.05,7.649999999999864,0.6458966565349429,1184.4,1978,2357874.9,715125578298.77,1240.0,571.0,1192.05,https://static.nseindia.com/sparklines/today/preOpen_INDUSINDBKEQN.jpg
BANDHANBNK,BANDHANBNKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,318.45,1.9499999999999886,0.6161137440758258,316.5,6466,2059097.7,214110434347.11,430.7,259.25,318.45,https://static.nseindia.com/sparklines/today/preOpen_BANDHANBNKEQN.jpg
RBLBANK,RBLBANKEQN, ANNUAL GENERAL MEETING,198.0,1.0500000000000114,0.5331302361005389,196.95,21007,4159386.0,97965896065.03,274.3,155.6,198.0,https://static.nseindia.com/sparklines/today/preOpen_RBLBANKEQN.jpg
KOTAKBANK,KOTAKBANKEQN, DIVIDEND - RS 0.90 PER SHARE,2154.9,11.150000000000091,0.520116618075806,2143.75,15746,33931055.4,3145819341065.63,2155.0,1347.35,2154.9,https://static.nseindia.com/sparklines/today/preOpen_KOTAKBANKEQN.jpg
AXISBANK,AXISBANKEQN, ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,812.0,4.2000000000000455,0.5199306759098844,807.8,12229,9929948.0,2080643623717.85,827.0,481.6,812.0,https://static.nseindia.com/sparklines/today/preOpen_AXISBANKEQN.jpg
AUBANK,AUBANKEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.75 PER SHARE,1185.0,4.7999999999999545,0.4067107269954206,1180.2,644,763140.0,258673034943.54,1389.85,720.45,1185.0,https://static.nseindia.com/sparklines/today/preOpen_AUBANKEQN.jpg
ICICIBANK,ICICIBANKEQN, DIVIDEND - RS 2 PER SHARE,758.5,3.0,0.3970880211780278,755.5,38611,29286443.5,5238226340420.0,759.85,388.05,758.5,https://static.nseindia.com/sparklines/today/preOpen_ICICIBANKEQN.jpg
SBIN,SBINEQN, DIVIDEND - RS 4 PER SHARE,504.6,1.650000000000034,0.32806441992246427,502.95,43550,21975330.0,1930112349540.88,507.5,185.9,504.6,https://static.nseindia.com/sparklines/today/preOpen_SBINEQN.jpg
HDFCBANK,HDFCBANKEQN, DIVIDEND - RS 6.50 PER SHARE,1680.1,3.7999999999999545,0.22668973334128467,1676.3,22054,37052925.4,7333120176533.53,1725.0,1176.35,1680.1,https://static.nseindia.com/sparklines/today/preOpen_HDFCBANKEQN.jpg
